Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Eastern and South-Eastern Asia,rural,Hygiene,2024,0.74526,6397522.77718,No handwashing facility
sdg,Eastern and South-Eastern Asia,urban,Hygiene,2024,0.13918,2077748.18371,No handwashing facility
sdg,Eastern and South-Eastern Asia,total,Sanitation,2024,31.03079,729616015.56044,Basic service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2024,47.70464,409508177.6131,Basic service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2024,21.20622,316575021.79628,Basic service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2024,2.94877,69333414.48764,Limited service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2024,3.86243,33156072.18944,Limited service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2024,2.6332,39309534.60311,Limited service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2024,0.65166,15322281.72515,Open defecation
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2024,1.40299,12043570.15388,Open defecation
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2024,0.18629,2781001.24312,Open defecation
sdg,Eastern and South-Eastern Asia,total,Sanitation,2024,64.09638,1507075624.81751,Safely managed service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2024,44.28337,380139179.17238,Safely managed service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2024,75.48941,1126936414.9475,Safely managed service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2024,1.2724,29917490.02352,Unimproved
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2024,2.74658,23577282.50663,Unimproved
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2024,0.48488,7238531.95625,Unimproved
sdg,Eastern and South-Eastern Asia,total,Drinking water,2024,20.10814,472795512.07962,Basic service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2024,33.39188,286644040.4537,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2024,12.16999,181678533.51762,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2024,1.12729,26505573.34605,Limited service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2024,1.79519,15410372.52777,Limited service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2024,0.77749,11606695.60351,Limited service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2024,0.43755,10287852.68749,Surface water
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2024,0.94716,8130672.76952,Surface water
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2024,0.14285,2132492.23007,Surface water
sdg,Eastern and South-Eastern Asia,total,Drinking water,2024,75.31449,1770843006.38728,Safely managed service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2024,58.33751,500783349.73718,Safely managed service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2024,85.07671,1270059620.9444,Safely managed service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2024,3.01254,70832908.60652,Unimproved
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2024,5.52825,47455851.02005,Unimproved
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2024,1.83296,27363160.21952,Unimproved
sdg,Europe and Northern America,total,Sanitation,2024,12.57132,141891747.67244,Basic service
sdg,Europe and Northern America,rural,Sanitation,2024,21.34704,51780920.80156,Basic service
sdg,Europe and Northern America,urban,Sanitation,2024,10.15292,89967777.23702,Basic service
sdg,Europe and Northern America,total,Sanitation,2024,0.56579,6386046.07229,Limited service
sdg,Europe and Northern America,rural,Sanitation,2024,0.61516,1492186.71084,Limited service
sdg,Europe and Northern America,urban,Sanitation,2024,0.55165,4888340.5092,Limited service
sdg,Europe and Northern America,total,Sanitation,2024,0.00096,10850.26458,Open defecation
sdg,Europe and Northern America,rural,Sanitation,2024,0.00379,9192.68163,Open defecation
sdg,Europe and Northern America,urban,Sanitation,2024,0.00022,1911.25453,Open defecation
sdg,Europe and Northern America,total,Sanitation,2024,85.45403,964514610.08728,Safely managed service
sdg,Europe and Northern America,rural,Sanitation,2024,72.39559,175607987.77548,Safely managed service
sdg,Europe and Northern America,urban,Sanitation,2024,89.04552,789056333.79285,Safely managed service
sdg,Europe and Northern America,total,Sanitation,2024,1.4079,15890890.36313,Unimproved
sdg,Europe and Northern America,rural,Sanitation,2024,5.63842,13676971.57209,Unimproved
sdg,Europe and Northern America,urban,Sanitation,2024,0.24968,2212525.4971,Unimproved
sdg,Europe and Northern America,total,Drinking water,2024,4.62521,52204509.83628,Basic service
sdg,Europe and Northern America,rural,Drinking water,2024,12.77511,30988239.27456,Basic service
sdg,Europe and Northern America,urban,Drinking water,2024,2.3236,20590072.28646,Basic service
sdg,Europe and Northern America,total,Drinking water,2024,0.32815,3703856.90594,Limited service
sdg,Europe and Northern America,rural,Drinking water,2024,0.3804,922721.0793,Limited service
sdg,Europe and Northern America,urban,Drinking water,2024,0.35149,3114605.88729,Limited service
sdg,Europe and Northern America,total,Drinking water,2024,0.04314,486873.80534,Surface water
sdg,Europe and Northern America,rural,Drinking water,2024,0.02535,61500.73005,Surface water
sdg,Europe and Northern America,urban,Drinking water,2024,0.04787,424194.41876,Surface water
sdg,Europe and Northern America,total,Drinking water,2024,94.2292,1063559502.55365,Safely managed service
sdg,Europe and Northern America,rural,Drinking water,2024,84.22123,204293124.16155,Safely managed service
sdg,Europe and Northern America,urban,Drinking water,2024,96.98718,859429442.09005,Safely managed service
sdg,Europe and Northern America,total,Drinking water,2024,0.77429,8739398.20552,Unimproved
sdg,Europe and Northern America,rural,Drinking water,2024,2.59791,6301672.81062,Unimproved
sdg,Europe and Northern America,urban,Drinking water,2024,0.28986,2568571.46306,Unimproved
sdg,Latin America and the Caribbean,rural,Hygiene,2024,71.70499,85404077.28633,Basic service
sdg,Latin America and the Caribbean,rural,Sanitation,2024,75.33992,89733451.95446,At least basic
sdg,Latin America and the Caribbean,total,Sanitation,2024,39.20547,260114999.1024,Basic service
sdg,Latin America and the Caribbean,urban,Sanitation,2024,40.7345,221742871.111,Basic service
sdg,Latin America and the Caribbean,total,Sanitation,2024,3.88686,25788008.77991,Limited service
sdg,Latin America and the Caribbean,rural,Sanitation,2024,6.23684,7428371.34184,Limited service
sdg,Latin America and the Caribbean,urban,Sanitation,2024,3.55015,19325661.60313,Limited service
sdg,Latin America and the Caribbean,total,Sanitation,2024,0.71222,4725364.70277,Open defecation
sdg,Latin America and the Caribbean,rural,Sanitation,2024,3.17392,3780289.75222,Open defecation
sdg,Latin America and the Caribbean,urban,Sanitation,2024,0.13802,751344.29364,Open defecation
sdg,Latin America and the Caribbean,total,Sanitation,2024,51.23591,339932864.07419,Safely managed service
sdg,Latin America and the Caribbean,urban,Sanitation,2024,52.87399,287825514.64676,Safely managed service
sdg,Latin America and the Caribbean,total,Sanitation,2024,4.95954,32904838.0662,Unimproved
sdg,Latin America and the Caribbean,rural,Sanitation,2024,15.24933,18162677.00758,Unimproved
sdg,Latin America and the Caribbean,urban,Sanitation,2024,2.70333,14715896.90248,Unimproved
sdg,Latin America and the Caribbean,total,Drinking water,2024,18.58654,123315388.51858,Basic service
sdg,Latin America and the Caribbean,rural,Drinking water,2024,37.17592,44278299.77507,Basic service
sdg,Latin America and the Caribbean,urban,Drinking water,2024,14.82814,80718638.51171,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2024,0.66994,4444852.45829,Limited service
sdg,Latin America and the Caribbean,rural,Drinking water,2024,2.11725,2521751.91216,Limited service
sdg,Latin America and the Caribbean,urban,Drinking water,2024,0.35602,1938048.62436,Limited service
sdg,Latin America and the Caribbean,rural,Drinking water,2024,3.73541,4449057.50662,Surface water
sdg,Latin America and the Caribbean,urban,Drinking water,2024,0.03777,205609.90061,Surface water
sdg,Latin America and the Caribbean,total,Drinking water,2024,78.92668,523651752.80432,Safely managed service
sdg,Latin America and the Caribbean,rural,Drinking water,2024,53.69547,63953872.20968,Safely managed service
sdg,Latin America and the Caribbean,urban,Drinking water,2024,84.453,459729452.45727,Safely managed service
sdg,Latin America and the Caribbean,total,Drinking water,2024,0.74312,4930354.48649,Unimproved
